observed	reference	prediction_mask_follow_up	reference_mask_follow_up	prediction_mask_follow_up_intensity	reference_mask_follow_up_intensity	prediction_make_bin_change	reference_make_bin_change	prediction_change_frequency	reference_change_frequency	prediction_transition	reference_transition	prediction_presence	reference_presence
2555	2552	2XXX	2XXX	2XXX_E	2XXX_I	Changed	Not changed	Shifted (1 Change)	Reverted (1 LU in between)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5095	5555	5XXX	5555	5XXX_E	5555_E	Not changed	Not changed	Reverted (2 LUs in between)	Stable (No Change)	Niet aanwezig maar laatste LU wel aanwezig	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5755	5555	5XXX	5555	5XXX_E	5555_E	Not changed	Not changed	Reverted (1 LU in between)	Stable (No Change)	Niet aanwezig maar laatste LU wel aanwezig	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2232	2222	22XX	2222	22XX_I	2222_I	Not changed	Not changed	Reverted (1 LU in between)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
2555	2555	2XXX	2XXX	2XXX_E	2XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
2555	2655	2XXX	2XXX	2XXX_E	2XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
2255	2555	22XX	2XXX	22XX_E	2XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
2255	2555	22XX	2XXX	22XX_E	2XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
2555	2555	2XXX	2XXX	2XXX_E	2XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
2655	2655	2XXX	2XXX	2XXX_E	2XXX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
6655	6665	66XX	666X	66XX_E	666X_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
6665	6665	666X	666X	666X_E	666X_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
5655	5655	5XXX	5XXX	5XXX_E	5XXX_E	Not changed	Not changed	Reverted (1 LU in between)	Reverted (1 LU in between)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
6665	6665	666X	666X	666X_E	666X_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
6655	6655	66XX	66XX	66XX_E	66XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
6664	6665	666X	666X	666X_E	666X_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
6655	6655	66XX	66XX	66XX_E	66XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
6655	6655	66XX	66XX	66XX_E	66XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
6655	6655	66XX	66XX	66XX_E	66XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
6655	6665	66XX	666X	66XX_E	666X_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
9999	9999	9999	9999	9999_E	9999_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
9999	9999	9999	9999	9999_E	9999_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
9999	9999	9999	9999	9999_E	9999_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
9999	9999	9999	9999	9999_E	9999_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
9999	9999	9999	9999	9999_E	9999_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
9999	9999	9999	9999	9999_E	9999_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
0999	9999	0XXX	9999	0XXX_E	9999_E	Changed	Not changed	Shifted (1 Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2494	2999	2XXX	2XXX	2XXX_I	2XXX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
0999	9999	0XXX	9999	0XXX_E	9999_E	Changed	Not changed	Shifted (1 Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
9999	9999	9999	9999	9999_E	9999_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
9999	9999	9999	9999	9999_E	9999_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
9999	9999	9999	9999	9999_E	9999_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
9999	9999	9999	9999	9999_E	9999_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
9999	9999	9999	9999	9999_E	9999_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2199	2999	2XXX	2XXX	2XXX_I	2XXX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Stable absence
9999	9999	9999	9999	9999_E	9999_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
9999	9999	9999	9999	9999_E	9999_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
9919	9999	99XX	9999	99XX_I	9999_E	Not changed	Not changed	Reverted (1 LU in between)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Stable absence
9999	9999	9999	9999	9999_E	9999_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2333	2333	2XXX	2XXX	2XXX_E	2XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2333	2333	2XXX	2XXX	2XXX_E	2XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3133	3333	3XXX	3333	3XXX_I	3333_E	Not changed	Not changed	Reverted (1 LU in between)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3233	3333	3XXX	3333	3XXX_I	3333_E	Not changed	Not changed	Reverted (1 LU in between)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3233	3333	3XXX	3333	3XXX_I	3333_E	Not changed	Not changed	Reverted (1 LU in between)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3335	3333	333X	3333_E	333X_E	Not changed	Changed	Stable (No Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
9333	9333	9XXX	9XXX	9XXX_E	9XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3323	3333	33XX	3333_E	33XX_I	Not changed	Not changed	Stable (No Change)	Reverted (1 LU in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2333	2333	2XXX	2XXX	2XXX_E	2XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3323	3333	33XX	3333	33XX_I	3333_E	Not changed	Not changed	Reverted (1 LU in between)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
1333	1333	1XXX	1XXX	1XXX_E	1XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Eventual gain	Eventual gain
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3323	3333	33XX	3333	33XX_I	3333_E	Not changed	Not changed	Reverted (1 LU in between)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3334	3333	333X	3333_E	333X_E	Not changed	Changed	Stable (No Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3533	3323	3XXX	33XX	3XXX_E	33XX_I	Not changed	Not changed	Reverted (1 LU in between)	Reverted (1 LU in between)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2333	2333	2XXX	2XXX	2XXX_E	2XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
4323	4333	4XXX	4XXX	4XXX_I	4XXX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
